HackZurich 2019,"Europe's biggest Hackathon",hackathon,47.389654,8.516268,2019-09-27T17:00+02:00,2019-09-29T17:00+02:00
Indiennes. Material for a thousand stories,"In the 17th century indiennes – printed and painted cotton fabrics from India – became a popular commodity in Europe. Western manufacturers, including scores of Swiss companies, started producing their own versions of these precious items and very soon indiennes were everywhere. The exhibition at the National Museum tells the story of the production of these textiles, discusses colonial heritage and travels the trade routes between India, Europe and Switzerland. Very worth seeing are the many sumptuous fabrics, including valuable works on loan from Switzerland and abroad.",culture,47.379095,8.540263,2019-08-30T00:00+02:00,2020-01-20T00:00+02:00
GC - FC Chiasso,"Challenge League Match",sport,47.382547,8.503395,2019-09-28T17:30+02:00,2019-09-28T19:30+02:00
Geneva,"Something far away to test",party,46.176820,6.040197,2019-09-28T17:30+02:00,2019-09-28T19:30+02:00
Penguin Parade,"Save the penguins!",animal,47.386245,8.574252,2019-09-28T17:30+02:00,2019-09-28T19:30+02:00
Rüdig guet,"Beer, sausages and other stuff",party,47.385310,8.519118,2019-09-28T17:30+02:00,2019-09-28T19:30+02:00
Traumbild Ägypten,"Frühere Bilder von lustigen Menschen",culture,47.358928,8.530191,2019-09-28T17:30+02:00,2019-09-28T19:30+02:00
Beer night,"All you can drink for just 40.-",party,46.950472,7.443637,2019-09-28T17:30+02:00,2019-09-28T19:30+02:00
Party @ Gonzo,"Best party in town",party,47.380048,8.527763,2019-09-28T23:00+02:00,2019-09-29T08:00+02:00
Party @ Bagatelle 93,"Best party in town",party,47.378155,8.526616,2019-09-28T23:00+02:00,2019-09-29T08:00+02:00
